season_year,gamekey,playid,gsisid,time,x,y,dis,o,dir,event,number,position,role,generalized_role,punting_returning_team,gsisid_injured,player_activity_derived,turnover_related,primary_impact_type,primary_partner_gsisid,primary_partner_activity_derived,friendly_fire,ball_snap,line_set,penalty_flag,play_submit,punt,punt_play,punt_received,tackle,mph,injured_player,primary_partner_player,left_to_right
2016,5,3129,31130.0,2016-08-12 02:07:26.300,80.54000091552734,25.96999931335449,0.059999998658895486,137.66999816894528,168.88999938964844,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,1.2272727025683166,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.400,80.55999755859375,25.920000076293945,0.05000000074505806,135.6199951171875,149.1999969482422,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,1.022727290239824,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.500,80.58000183105469,25.8799991607666,0.03999999910593033,133.14999389648435,139.19999694824222,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.8181818017122111,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.600,80.58999633789062,25.85000038146973,0.029999999329447743,130.30999755859378,139.44000244140622,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.6136363512841583,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.700,80.58000183105469,25.84000015258789,0.009999999776482582,127.29000091552734,140.33000183105472,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.20454545042805278,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.800,80.58000183105469,25.860000610351573,0.019999999552965164,124.4499969482422,140.55999755859378,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.40909090085610555,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:26.900,80.58000183105469,25.8799991607666,0.019999999552965164,121.55999755859376,145.08999633789062,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.40909090085610555,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:27.000,80.58000183105469,25.899999618530273,0.019999999552965164,118.59999847412108,158.61000061035156,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.40909090085610555,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:25.400,80.54000091552734,26.07999992370605,0.03999999910593033,151.24000549316406,222.2400054931641,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.8181818017122111,False,False,False
2016,5,3129,31130.0,2016-08-12 02:07:25.500,80.5,26.09000015258789,0.03999999910593033,149.52000427246094,213.33999633789062,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,0.8181818017122111,False,False,False
