index,season_year,gamekey,playid,yardline_int,left_to_right,x_long_snapper,y_long_snapper,x_punt_returner,y_punt_returner
0,2016,3,2643,49,True,57.369998931884794,23.8299999237061,100.110000610352,23.2000007629394
22,2016,3,3949,9,True,17.7800006866455,23.6399993896484,67.73000335693361,22.8899993896484
44,2016,3,1676,7,True,15.1899995803833,24.399999618530302,66.8000030517578,23.3199996948242
66,2016,3,1542,34,False,77.3399963378906,23.6100006103516,26.5499992370606,23.010000228881804
88,2016,3,1388,40,True,69.27999877929689,23.9200000762939,100.599998474121,23.4599990844727
109,2016,3,455,32,True,41.0099983215332,29.940000534057603,89.9599990844727,23.25
131,2016,4,2795,50,True,58.970001220703104,23.6200008392334,102.349998474121,26.3899993896484
153,2016,4,3900,41,True,69.44000244140621,29.649999618530302,99.9199981689453,29.559999465942397
175,2016,4,2888,1,False,109.819999694824,26.3600006103516,66.5100021362305,30.2299995422363
197,2016,4,291,47,True,61.9799995422363,29.780000686645497,98.2699966430664,27.309999465942397
218,2016,4,386,39,True,70.25,29.7700004577637,99.9199981689453,27.989999771118196
239,2016,4,927,33,False,77.4700012207031,23.8400001525879,35.9199981689453,20.5
261,2016,4,1618,35,False,75.5199966430664,27.780000686645497,28.1599998474121,31.350000381469698
283,2016,4,1056,50,False,60.439998626709006,23.6800003051758,20.5100002288818,24.530000686645497
305,2016,4,3524,24,True,33.310001373291,23.9799995422363,73.9100036621094,23.5200004577637
327,2016,4,1725,19,True,28.0499992370606,29.8600006103516,74.63999938964841,31.8299999237061
349,2016,4,3646,8,False,102.48000335693399,29.8799991607666,54.91999816894529,31.7099990844727
370,2016,5,575,49,False,62.220001220703104,24.1299991607666,20.3600006103516,23.2000007629394
393,2016,5,3315,44,True,53.630001068115206,29.6200008392334,100.01000213623001,27.3600006103516
415,2016,5,3129,31,False,79.5899963378906,27.2700004577637,29.6700000762939,27.3600006103516
437,2016,5,821,34,False,76.9199981689453,30.010000228881804,27.5,29.059999465942397
460,2016,5,1440,41,False,69.84999847412111,27.2900009155273,19.6200008392334,26.8199996948242
482,2016,5,1333,20,True,28.149999618530302,25.8899993896484,79.4100036621094,26.010000228881804
505,2016,5,1044,12,False,98.9499969482422,23.6299991607666,45.0999984741211,23.760000228881804
528,2016,5,933,31,True,40.040000915527294,30.030000686645497,91.9000015258789,27.5499992370606
551,2016,5,2046,16,True,24.3799991607666,27.4500007629394,71.63999938964841,27.8400001525879
573,2016,5,2564,28,False,83.0299987792969,29.690000534057603,29.8199996948242,25.4200000762939
595,2016,5,2680,45,True,53.4799995422363,29.2700004577637,100.050003051758,29.7299995422363
617,2016,5,3521,46,True,54.869998931884794,23.9200000762939,99.47000122070308,24.719999313354503
639,2016,5,4095,41,True,50.16999816894529,24.0799999237061,99.23999786376949,23.469999313354503
661,2016,5,3864,45,False,55.5200004577637,24.219999313354503,17.1599998474121,23.1599998474121
683,2016,6,632,31,False,80.2900009155273,29.8400001525879,25.6599998474121,31.1399993896484
705,2016,6,2626,10,False,100.41000366210899,29.8799991607666,55.41999816894529,30.1599998474121
727,2016,6,3725,27,True,36.0,23.6700000762939,83.69000244140621,24.219999313354503
749,2016,6,76,19,False,91.62000274658199,23.8700008392334,44.810001373290994,24.6800003051758
771,2016,6,852,44,True,52.6800003051758,23.5799999237061,100.0,23.5200004577637
792,2016,6,4078,19,True,29.1800003051758,26.2000007629394,74.0199966430664,26.690000534057603
814,2016,6,958,15,True,24.4099998474121,23.510000228881804,76.2300033569336,23.0400009155273
